contest-tmp2m-14d__tmp2m,index
29.570145,375734
29.593447,375735
29.576342,375736
29.819956,375737
29.787907,375738
30.018177,375739
29.79706,375740
29.577011,375741
29.302473,375742
29.224625,375743
29.581337,375744
29.88763,375745
29.620844,375746
29.345575,375747
29.232662,375748
29.216679,375749
28.914125,375750
28.47544,375751
27.976915,375752
27.816874,375753
27.638271,375754
27.82375,375755
27.738974,375756
27.680601,375757
27.73833,375758
27.360601,375759
26.874954,375760
26.730133,375761
26.702524,375762
26.27526,375763
26.228241,375764
26.385098,375765
26.57093,375766
26.441683,375767
26.347897,375768
26.237642,375769
25.11906,375770
24.72025,375771
24.8045,375772
25.068338,375773
25.206652,375774
25.108664,375775
24.974838,375776
24.817993,375777
24.551243,375778
24.517841,375779
24.365372,375780
24.263088,375781
24.26594,375782
24.147572,375783
23.568684,375784
23.739788,375785
23.484177,375786
23.259863,375787
23.016777,375788
22.48042,375789
21.946306,375790
21.025404,375791
20.499537,375792
20.37113,375793
19.929852,375794
29.08814,375795
28.994675,375796
29.058996,375797
29.156143,375798
29.188475,375799
29.212442,375800
29.044785,375801
28.842588,375802
28.54667,375803
28.44979,375804
28.90159,375805
29.066448,375806
29.010471,375807
28.799086,375808
28.722431,375809
28.619474,375810
28.32439,375811
28.110094,375812
27.595058,375813
27.49223,375814
27.465677,375815
27.63951,375816
27.23238,375817
26.850044,375818
26.848843,375819
26.515669,375820
26.271696,375821
25.914492,375822
25.819675,375823
25.606205,375824
25.256565,375825
25.497526,375826
25.643644,375827
25.501558,375828
25.349087,375829
25.266214,375830
24.982298,375831
24.559053,375832
24.675325,375833
24.887487,375834
25.01106,375835
24.966166,375836
24.78716,375837
24.635986,375838
24.39813,375839
24.339231,375840
24.21706,375841
24.107897,375842
23.760864,375843
23.782864,375844
23.363068,375845
23.216446,375846
23.221802,375847
23.078358,375848
22.883512,375849
22.068296,375850
21.523005,375851
20.792192,375852
20.493338,375853
20.409176,375854
20.08754,375855
29.47456,375856
29.370363,375857
29.411547,375858
29.497936,375859
29.400768,375860
29.257793,375861
29.15832,375862
28.93077,375863
28.611372,375864
28.480453,375865
28.821863,375866
29.23175,375867
28.953207,375868
28.75179,375869
28.33936,375870
28.286972,375871
28.056072,375872
27.811037,375873
27.53301,375874
27.39822,375875
26.829082,375876
26.927206,375877
27.123825,375878
27.204535,375879
26.602205,375880
26.37123,375881
26.140518,375882
25.729563,375883
25.863392,375884
25.743382,375885
25.873848,375886
26.163307,375887
26.44712,375888
26.397867,375889
26.377764,375890
26.195032,375891
25.093233,375892
24.77093,375893
25.01856,375894
25.2117,375895
25.282267,375896
25.24037,375897
25.109058,375898
24.829773,375899
24.593891,375900
24.598696,375901
24.457758,375902
24.37229,375903
24.110176,375904
23.944605,375905
23.00749,375906
23.114403,375907
23.116438,375908
22.866503,375909
22.62365,375910
21.846975,375911
20.769634,375912
20.317684,375913
19.774614,375914
19.337465,375915
18.469378,375916
28.504025,375917
28.589643,375918
28.645582,375919
28.730501,375920
28.693521,375921
28.983055,375922
28.740181,375923
28.484547,375924
28.336317,375925
28.201593,375926
28.58572,375927
28.862541,375928
28.588142,375929
28.273521,375930
27.986147,375931
27.948841,375932
27.722404,375933
27.484692,375934
26.985378,375935
26.80946,375936
26.468632,375937
26.65307,375938
26.585068,375939
26.35337,375940
25.84161,375941
25.44956,375942
25.229733,375943
24.707653,375944
24.919329,375945
24.659399,375946
24.750076,375947
25.094627,375948
25.234335,375949
25.220375,375950
25.202894,375951
25.081627,375952
24.641722,375953
24.300129,375954
24.609188,375955
24.888506,375956
24.966856,375957
24.872297,375958
24.736696,375959
24.537012,375960
24.320599,375961
24.322422,375962
24.13368,375963
24.083559,375964
23.828962,375965
23.539385,375966
22.724236,375967
22.752146,375968
22.922453,375969
22.377335,375970
22.033785,375971
21.61006,375972
20.587704,375973
20.379322,375974
19.820223,375975
19.699965,375976
19.044916,375977
28.477674,375978
28.506802,375979
28.527048,375980
28.628906,375981
28.538578,375982
28.132536,375983
28.064566,375984
27.723202,375985
27.51117,375986
27.317495,375987
27.584791,375988
27.943953,375989
27.867315,375990
27.672842,375991
27.394487,375992
27.300373,375993
27.011549,375994
26.746758,375995
26.20083,375996
26.267164,375997
26.298307,375998
26.297873,375999
26.499485,376000
26.350082,376001
25.846066,376002
25.686308,376003
25.164892,376004
25.120354,376005
24.612856,376006
24.519545,376007
24.551395,376008
24.757547,376009
24.942677,376010
24.880577,376011
24.966991,376012
24.920538,376013
24.56491,376014
24.264057,376015
24.369148,376016
24.623363,376017
24.637623,376018
24.593803,376019
24.465776,376020
24.327362,376021
24.18612,376022
24.089937,376023
24.024473,376024
23.69598,376025
22.985144,376026
23.03279,376027
22.907398,376028
22.881842,376029
23.05322,376030
